State,Highway,Total_Damage_Area,Image_Count,RefFull,Avg Lanes,Avg Speed,Total Segments,Population,Urbanization,State Specific Metric Raw,Road Specific Metric Raw,State Specific Metric,Road Specific Metric,Traffic Severity Score Raw,Traffic Severity Score
RS,290,100.0,721,BR-290,0.97,61.5,500,10882965,84.4,918522246.0000001,59.655,100.0,34.69012373145312,3469.012373145312,100.0
DF,251,93.75232458888625,594,BR-251,0.13,66.1,64,2817381,96.4,271595528.40000004,8.593,1.0,5.852891345643729,5.852891345643729,1.1385336012463525
RS,386,66.9097254665784,460,BR-386,0.93,34.5,621,10882965,84.4,918522246.0000001,32.085,100.0,19.11998357092739,1911.9983570927388,55.55252663374913
DF,80,33.00767427082249,213,BR-080,,,6,2817381,96.4,271595528.40000004,0.0,1.0,1.0,1.0,1.0
DF,20,7.754113351592754,94,BR-020,2.0,24.4,2,2817381,96.4,271595528.40000004,48.8,1.0,28.559769308438728,28.559769308438728,1.7867380124312815
DF,70,4.107000281198037,50,BR-070,1.92,60.0,6,2817381,96.4,271595528.40000004,115.19999999999999,1.0,66.05912754778979,66.05912754778979,2.8572176031164673
ES,259,3.886145516662644,43,BR-259,0.01,79.5,143,3833712,85.2,326632262.40000004,0.795,9.422339838140577,1.4489757500042786,13.652741933764935,1.361192901485142
DF,10,2.144524719964396,42,BR-010,,,0,2817381,96.4,271595528.40000004,0.0,1.0,1.0,1.0,1.0
DF,60,1.723639344697867,15,BR-060,2.13,82.3,100,2817381,96.4,271595528.40000004,175.29899999999998,1.0,100.0,100.0,3.826114484450639
ES,101,1.1455042080068374,1,BR-101,1.26,83.6,1112,3833712,85.2,326632262.40000004,105.336,9.422339838140577,60.48843975151028,569.9426356176214,17.241384074146282
ES,482,1.0,2,BR-482,1.31,57.5,52,3833712,85.2,326632262.40000004,75.325,9.422339838140577,43.539746376191545,410.2462868229264,12.682594534322353
